,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
28,Feature_29,"('Bwd_Pkt_Length_Std', 0.0)","('Bwd_IAT_Mean', 0.010482585624248654)","('Flow_IAT_Max', 0.00046706546)","('Pkt_Length_Min', 0.0009466020247736021)","('Fwd_Pkts_Sec', 0.011373369226162921)","('Bwd_Init_Win_Bytes', 0.0014717432)"
29,Feature_30,"('Flow_Bytes_Sec', 0.0)","('Bwd_IAT_Std', 0.010450003728707746)","('Pkt_Length_Std', 0.00036530013)","('Fwd_Header_Length', 0.000921085318116802)","('Fwd_Pkt_Length_Std', 0.011196802923579904)","('Bwd_Pkt_Length_Std', 0.0012875065)"
30,Feature_31,"('Flow_Pkts_Sec', 0.0)","('Bwd_IAT_Min', 0.010406227330718141)","('Fwd_IAT_Mean', 0.00025405057)","('Flow_IAT_Std', 0.0008732959050452278)","('Fwd_IAT_Min', 0.011149395551074838)","('Flow_IAT_Min', 0.0011749893)"
31,Feature_32,"('Flow_IAT_Std', 0.0)","('Flow_Duration', 0.010102511664888764)","('Fwd_IAT_Max', 0.00024144168)","('Fwd_Pkt_Length_Std', 0.0008456757676792346)","('Fwd_Subflow_Pkts', 0.010542280606218531)","('Fwd_Pkts_Sec', 0.0011711919)"
32,Feature_33,"('Fwd_IAT_Total', 0.0)","('Fwd_IAT_Min', 0.009745113682369721)","('Pkt_Length_Max', 0.00021143763)","('Bwd_Subflow_Bytes', 0.0007996114397707847)","('Bwd_IAT_Min', 0.009932170146624677)","('UDP', 0.0011652317)"
33,Feature_34,"('Fwd_IAT_Mean', 0.0)","('Bwd_Header_Length', 0.009721524397317246)","('Bwd_IAT_Total', 0.00016648727)","('ACK_Flag_Count', 0.0007849748835144064)","('Pkt_Length_Std', 0.009887347186290519)","('Bwd_Pkt_Length_Mean', 0.0011458492)"
34,Feature_35,"('Fwd_IAT_Max', 0.0)","('Fwd_Pkt_Length_Max', 0.009667611562479079)","('Fwd_IAT_Total', 0.00014473789)","('Fwd_Total_Pkts', 0.0007434228156193043)","('Fwd_Seg_Size_Min', 0.009797037764467994)","('Fwd_IAT_Std', 0.0010457106)"
35,Feature_36,"('Bwd_IAT_Total', 0.0)","('Fwd_Pkt_Length_Mean', 0.0089193311777903)","('Bwd_Header_Length', 0.00012105999)","('Fwd_Subflow_Pkts', 0.0005677805342297529)","('Fwd_Total_Pkts', 0.009204172186609636)","('Pkt_Length_Mean', 0.0010343915)"
36,Feature_37,"('Bwd_IAT_Mean', 0.0)","('Bwd_Total_Pkts', 0.008790923495833167)","('Time_Idle_Mean', 0.00011263159)","('Bwd_IAT_Std', 0.00040466469991319565)","('Fwd_IAT_Std', 0.00913427294556581)","('Time_Idle_Min', 0.0009648051)"
37,Feature_38,"('Bwd_IAT_Std', 0.0)","('Bwd_IAT_Total', 0.008519222059958621)","('Bwd_Total_Pkts', 0.0001112528)","('Bwd_IAT_Total', 0.0003721663474411802)","('Bwd_IAT_Max', 0.008868337026873195)","('Time_Active_Std', 0.000953821)"
38,Feature_39,"('Bwd_IAT_Max', 0.0)","('Flow_IAT_Max', 0.008407578268984644)","('Fwd_Pkt_Length_Std', 6.9014095e-05)","('Pkt_Length_Var', 0.0003260725038085056)","('Bwd_Pkts_Sec', 0.008667406955956828)","('Flow_IAT_Std', 0.00072299404)"
39,Feature_40,"('Bwd_PSH_Flags', 0.0)","('Fwd_Total_Bytes', 0.008082741652895522)","('Flow_IAT_Std', 4.6649595e-05)","('Bwd_IAT_Mean', 0.0002997396374482461)","('Bwd_Init_Win_Bytes', 0.008651390846467568)","('Bwd_Total_Bytes', 0.00068813266)"
40,Feature_41,"('Fwd_URG_Flags', 0.0)","('Flow_IAT_Std', 0.0069072008938208945)","('Fwd_Pkts_Sec', 2.4482142e-05)","('Bwd_Subflow_Pkts', 0.00027466589859077514)","('Flow_IAT_Std', 0.007742595804808467)","('Fwd_Act_Data_Pkt', 0.00061234087)"
41,Feature_42,"('Bwd_URG_Flags', 0.0)","('Fwd_Pkts_Sec', 0.006131565257198401)","('Bwd_Total_Bytes', 0.0)","('Flow_IAT_Min', 0.0002491769380880668)","('Bwd_IAT_Total', 0.005980818102977634)","('Flow_IAT_Max', 0.000568386)"
42,Feature_43,"('Fwd_Header_Length', 0.0)","('Fwd_Total_Pkts', 0.005317140072552333)","('Fwd_Pkt_Length_Max', 0.0)","('Bwd_IAT_Max', 0.0001831105990605168)","('Bwd_Header_Length', 0.00590746891177295)","('Fwd_Total_Pkts', 0.0005041513)"
